Date_str,Date,Mkt-RF,SMB,HML,RF
19260701,1926-07-01,0.1,-0.25,-0.27,0.009
19260702,1926-07-02,0.45,-0.33,-0.06,0.009
19260706,1926-07-06,0.17,0.3,-0.39,0.009
19260707,1926-07-07,0.09,-0.58,0.02,0.009
19260708,1926-07-08,0.21,-0.38,0.19,0.009
19260709,1926-07-09,-0.71,0.43,0.57,0.009
19260710,1926-07-10,0.62,-0.53,-0.1,0.009
19260712,1926-07-12,0.04,-0.03,0.64,0.009
19260713,1926-07-13,0.48,-0.28,-0.2,0.009
19260714,1926-07-14,0.04,0.07,-0.43,0.009
19260715,1926-07-15,-0.43,0.49,-0.22,0.009
19260716,1926-07-16,0.53,-0.07,-0.44,0.009
19260717,1926-07-17,0.34,0.43,-0.62,0.009
19260719,1926-07-19,-0.01,-0.04,-0.42,0.009
19260720,1926-07-20,-0.57,-0.25,0.19,0.009
19260721,1926-07-21,-0.6,0.18,0.36,0.009
19260722,1926-07-22,-0.73,-0.27,-0.23,0.009
19260723,1926-07-23,-0.02,0.09,0.04,0.009
19260724,1926-07-24,-0.14,0.44,-0.05,0.009
19260726,1926-07-26,0.53,-0.39,-0.22,0.009
19260727,1926-07-27,0.43,-0.41,0.2,0.009
19260728,1926-07-28,1.09,0.02,-0.25,0.009
19260729,1926-07-29,0.36,-0.6,-1.04,0.009
19260730,1926-07-30,0.14,-0.46,0.53,0.009
19260731,1926-07-31,0.46,-0.12,-0.17,0.009
19260802,1926-08-02,0.84,-0.26,0.03,0.01
19260803,1926-08-03,0.47,-0.25,-0.63,0.01
19260804,1926-08-04,-0.36,0.11,0.33,0.01
19260805,1926-08-05,-0.09,0.01,0.72,0.01
19260806,1926-08-06,0.68,0.07,0.17,0.01
19260807,1926-08-07,0.46,0.15,-0.35,0.01
19260809,1926-08-09,0.21,-0.07,-0.22,0.01
19260810,1926-08-10,-1.4,0.34,0.21,0.01
19260811,1926-08-11,-0.57,0.21,0.34,0.01
19260812,1926-08-12,0.84,-0.76,0.4,0.01
19260813,1926-08-13,0.58,-0.85,0.26,0.01
19260814,1926-08-14,0.69,0.2,-0.44,0.01
19260816,1926-08-16,0.07,0.25,0.67,0.01
19260817,1926-08-17,-0.95,0.33,0.17,0.01
19260818,1926-08-18,0.26,0.11,0,0.01
19260819,1926-08-19,-0.6,0.14,0.07,0.01
19260820,1926-08-20,-0.2,-0.35,0.41,0.01
19260821,1926-08-21,0.32,-0.08,0.54,0.01
19260823,1926-08-23,0.49,-0.39,0.48,0.01
19260824,1926-08-24,-0.84,0.48,-0.07,0.01
19260825,1926-08-25,-0.32,-0.4,0.23,0.01
19260826,1926-08-26,0.53,0.1,0.48,0.01
19260827,1926-08-27,0.35,0.15,-0.42,0.01
19260828,1926-08-28,0.34,0.13,-0.04,0.01
19260830,1926-08-30,0.3,0.01,0.4,0.01
19260831,1926-08-31,0.58,-0.52,-0.04,0.01
19260901,1926-09-01,0.55,0.54,-0.11,0.009
19260902,1926-09-02,-0.06,-0.15,0.34,0.009
19260903,1926-09-03,0.5,-0.28,0,0.009
19260907,1926-09-07,0.59,-0.26,-0.23,0.009
19260908,1926-09-08,-0.51,-0.09,0.05,0.009
19260909,1926-09-09,-0.07,0.19,0.22,0.009
19260910,1926-09-10,-0.83,0.08,-0.1,0.009
19260911,1926-09-11,-0.44,0.32,0.13,0.009
19260913,1926-09-13,-0.03,-0.1,0.48,0.009
19260914,1926-09-14,0.9,-0.64,0.13,0.009
19260915,1926-09-15,-0.21,0.38,-0.15,0.009
19260916,1926-09-16,-0.18,-0.3,0.05,0.009
19260917,1926-09-17,-1.01,-0.21,-0.21,0.009
19260918,1926-09-18,0.7,-0.25,-0.17,0.009
19260920,1926-09-20,-0.64,0.04,-0.02,0.009
19260921,1926-09-21,0.3,-0.39,0.15,0.009
19260922,1926-09-22,-0.13,0.01,0.06,0.009
19260923,1926-09-23,0.26,-0.14,0.03,0.009
19260924,1926-09-24,0.62,-0.16,-0.09,0.009
19260925,1926-09-25,0.21,0.03,-0.59,0.009
19260927,1926-09-27,-0.12,0.12,0.43,0.009
19260928,1926-09-28,0,-0.03,-0.33,0.009
19260929,1926-09-29,-0.3,0.14,-0.06,0.009
19260930,1926-09-30,0.3,-0.22,0.05,0.009
19261001,1926-10-01,0.73,-0.26,-0.23,0.013
19261002,1926-10-02,-0.1,-0.03,-0.05,0.013
19261004,1926-10-04,-1.4,-0.17,0.01,0.013
19261005,1926-10-05,-1.1,0.42,-0.67,0.013
19261006,1926-10-06,-0.56,-0.74,-0.22,0.013
19261007,1926-10-07,-0.77,0.36,0.25,0.013
19261008,1926-10-08,0.59,-0.32,0.51,0.013
19261009,1926-10-09,-0.96,0.45,-0.07,0.013
19261011,1926-10-11,-0.69,-0.13,-0.07,0.013
19261013,1926-10-13,0.69,-0.35,0.02,0.013
19261014,1926-10-14,0.97,-0.47,1.08,0.013
19261015,1926-10-15,-1.83,0.07,-0.18,0.013
19261016,1926-10-16,-0.73,-0.31,0.37,0.013
19261018,1926-10-18,0.7,-0.11,0.39,0.013
19261019,1926-10-19,-1.06,0.37,-0.5,0.013
19261020,1926-10-20,-0.25,-0.57,-1.2,0.013
19261021,1926-10-21,1.53,-0.11,0.55,0.013
19261022,1926-10-22,-0.4,0.4,0.27,0.013
19261023,1926-10-23,0.54,0.51,0.19,0.013
19261025,1926-10-25,-0.1,0.36,-0.05,0.013
19261026,1926-10-26,0.32,0.06,0.23,0.013
19261027,1926-10-27,1,-0.41,0.1,0.013
19261028,1926-10-28,-0.08,0.66,0.25,0.013
19261029,1926-10-29,-0.06,-0.02,-0.28,0.013
19261030,1926-10-30,-0.25,0.21,0.22,0.013
